 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
54	Miami Vice	PSP	25/04/2013	Not Registered	Completed	76	3				TPS	Box | Cover*	
81	Resistance: Retribution	PSP	26/12/2014	13/08/2017	Completed	76	1				TPS	Box | Cover | Manual	Essentials
289	Split/Second: Velocity	PSP	31/03/2019	05/05/2019	Completed	76	1	82		GotM Apr19	Racing	Box | Cover | Manual	Essentials
59	Tony Hawk's Project 8	PSP	25/04/2014	Not Registered	Completed	76	2			#2 Sports	Sports	Box | Cover*	
1	Grand Theft Auto: San Andreas	PS2	Before 2012		Not Completed	76	0				Action | Adventure | OpenWorld	Box | Cover | Manual	
232	Super Mario Kart	SNES Classic	27/07/2018	/	Null	76	/				Racing	Built-in Console	
723	Batman: Arkham Origins - Blackgate	3DS	12/05/2024	04/11/2024	Completed	75.5	1	71	08:59		Action | Adventure	Box | Cover | Manual	
957	Persona 5 Strikers	PS4	02/11/2025	23/11/2025	Completed	75.5	1		23:13		H&S | RPG	Box | Cover | Manual	
312	Dante's Inferno	PS3	17/10/2019	11/11/2019	Completed	75	2	100			Action | <3 | H&S	Box | Cover | Manual	Platinum
328	Resident Evil 6	PS3	01/01/2020	14/04/2020	Completed	75	1		23:00	GotM Jan20	Horror | TPS | <3	Box | Cover | Manual	
437	The Walking Dead	PS3	02/12/2021	14/01/2022	Completed	75	1				Horror | Adventure	Box | Cover | Manual	
445	Kingdom Hearts Final Mix	PS3	14/12/2021	31/01/2024	Completed	75	1		16:30		RPG | OpenWorld	Box | Cover | Manual	-HD 1.5 ReMIX-
593	One Piece: Pirate Warriors	PS3	16/03/2023	30/04/2023	Completed	75	1		08:11		Action | H&S	Box | Cover | Manual	
569	RAGE	PS3	09/01/2023	27/06/2023	Completed	75	1		12:07		FPS | OpenWorld	Box | Cover | Manual	
824	Singularity	PS3	09/02/2025	29/04/2025	Completed	75	1				FPS	Box | Cover | Manual	
1024	God of War: Ascension	PS3	19/05/2026	13/06/2026	Completed	75	1				Action | H&S	Box | Cover | Manual	
910	Uncharted: The Lost Legacy	PS4	09/06/2025	08/10/2025	Completed	75	1				Action | Adventure	Box | Cover | Manual	
22	Assassin's Creed: Bloodlines	PSP	Day 1 2012	Not Registered	Completed	75	2	100			Action | Adventure	Box | Cover	
561	Everybody's Tennis	PSP	25/11/2022	11/01/2023	Completed	75	1				Sports	Box | Cover | Manual	Essentials
350	Metroid Prime 3: Corruption	Wii	08/07/2020		Not Completed	75	0				Action | FPS	Box | Cover | Manual	
21	Pro Evolution Soccer 2010	PSP	Day 1 2012	/	Null	75	/			#4 Sports	Sports	Box | Cover	Platinum
564	Mario & Sonic at the London 2012 Olympic Games	3DS	24/12/2022	01/01/2023	Completed	74.5	1				Sports | <3	Box | Cover | Manual	
274	Dynasty Warriors 5 Xtreme Legends	PS2	09/01/2019	20/02/2019	Completed	74.5	1				Action | H&S	Box | Cover | Manual	
408	James Bond 007: Everything or Nothing	PS2	06/07/2021	25/09/2021	Completed	74.5	1				Action | TPS	Box | Cover | Manual	Platinum
657	Samurai Warriors: Katana	Wii	28/08/2023	19/08/2024	Completed	74.5	1				Action	Box | Cover | Manual	
376	Avatar: The Last Airbender – The Burning Earth	NDS	06/02/2021	24/02/2021	Completed	74	1				Action	Box	
140	Tom Clancy's Splinter Cell: Pandora Tomorrow	PC	11/04/2016	04/05/2016	Completed	74	1				Stealth | Action	Box	
433	Devil Kings	PS2	22/10/2021	23/10/2021	Completed	74	2				Action | H&S	Box | Cover*	
494	Dragonball Z Budokai 2	PS2	22/04/2022	14/06/2022	Completed	74	1				Fighting	Box | Cover | Manual	
153	Freedom Fighters	PS2	21/08/2016	31/08/2016	Completed	74	1				TPS | L	/	
416	Medal of Honor: European Assault	PS2	27/07/2021	14/08/2021	Completed	74	1				FPS	Box | Cover | Manual	
158	Prince of Persia: The Sands of Time	PS2	21/08/2016	12/09/2016	Completed	74	1	100	07:23		Action | Adventure	Box | Cover*	
272	Second Sight	PS2	09/01/2019	19/02/2019	Completed	74	1		06:16		Action | Stealth	Box | Cover | Manual	
342	Shadow Man: 2econd Coming	PS2	14/04/2020	02/05/2020	Completed	74	1				Action | Adventure	Box | Cover | Manual	
201	Star Wars: The Force Unleashed	PS2	26/08/2017	07/09/2017	Completed	74	1		07:03		Action | Adventure	Box | Cover | Manual	Platinum
629	Samurai Warriors	PS2	07/08/2023	26/08/2023	Completed	74	1				Action | H&S	Box | Cover | Manual	
283	Darksiders	PS3	07/03/2019	14/09/2019	Completed	74	1		17:09		Action | Adventure	Box | Cover | Manual	
279	Resident Evil 5	PS3	07/03/2019	15/12/2019	Completed	74	1				Horror | TPS	Box | Cover | Manual	
336	Uncharted: Drake's Fortune	PS3	24/02/2020	07/04/2020	Completed	74	1		07:12		Action | Adventure	Box | Cover | Manual	
584	Prince of Persia	PS3	11/02/2023	22/03/2023	Completed	74	1				Action | Adventure	Box | Cover | Manual	
521	Saints Row 2	PS3	26/07/2022	22/01/2026	Completed	74	1	64	14:14		Action | Adventure | OpenWorld	Box | Cover*	
302	LittleBigPlanet	PSP	25/07/2019	31/08/2019	Completed	74	1				Platformer	Box  	
31	Metal Slug Anthology	PSP	02/02/2013	Not Registered	Completed	74	1	100			Platformer	Box | Cover 	
168	Scarface: Money. Power. Respect.	PSP	21/09/2016	16/01/2017	Completed	74	1			#2 Strategy	Strategy	Box | Cover 	
383	Star Wars: The Force Unleashed	PSP	09/04/2021	18/06/2021	Completed	74	1				Action | Adventure	Box | Cover | Manual	Platinum
958	Uncharted: Golden Abyss	VITA	17/11/2025	28/11/2025	Completed	74	1				Action | Adventure	Box | Cover | Manual	
369	Grand Theft Auto III	PS2	01/12/2020		Not Completed	74	0				Action | Adventure | OpenWorld	Box | Cover | Manual	
518	Street Fighter IV	PS3	26/07/2022		Not Completed	74	0				Fighting	Box | Cover | Manual	
603	One Piece: Unlimited Cruise SP 2	3DS	24/05/2023	21/02/2024	Completed	73.5	1	33			Action | Adventure	/	
907	Yoshi's New Island	3DS	09/06/2025	17/06/2025	Completed	73	1				Platformer	Box | Cover | Manual	
401	Rayman 3	GBA	22/06/2021	30/06/2021	Completed	73	1				Platformer	/	
3	Black	PS2	Before 2012	Not Registered	Completed	73	1				FPS	Box | Cover | Manual	
115	Scooby-Doo! Mystery Mayhem	PS2	15/09/2015	26/09/2015	Completed	73	1				Action | Adventure	Box | Cover | Manual	
544	LEGO Star Wars II: The Original Trilogy	PS2	22/09/2022	30/10/2022	Completed	73	1	55.8	09:27		Action | Adventure	Box | Cover | Manual	
616	Medal of Honor: Frontline	PS2	29/05/2023	22/02/2025	Completed	73	1				FPS	Box | Cover | Manual	
365	Call of Duty: Black Ops	PS3	19/10/2020	03/01/2021	Completed	73	1				FPS	Box | Cover | Manual	
469	Dark Sector	PS3	31/03/2022	25/05/2022	Completed	73	1				Action | TPS	Box | Cover | Manual	
387	Overlord: Raising Hell	PS3	14/04/2021	01/02/2022	Completed	73	1				Action | RPG	Box | Cover | Manual	
823	Bulletstorm	PS3	09/02/2025	26/10/2025	Completed	73	1				FPS	Box | Cover | Manual	
995	Max Payne 3	PS3	28/01/2026	10/04/2026	Completed	73	1				TPS	Box | Cover	
984	The Council	PS4	15/12/2025	06/05/2026	Completed	73	1				Adventure	Box | Cover | Manual	
79	Coded Arms Contagion	PSP	26/12/2014	10/01/2015	Completed	73	1				FPS	Box | Cover | Manual	
76	Crash Tag Team Racing	PSP	26/09/2014	02/10/2014	Completed	73	1	91			Racing	Box | Cover | Manual	Essentials
214	Dragon Ball Z: Shin Budokai	PSP	11/04/2018	08/05/2018	Completed	73	1	16		#3 Fighting	Fighting	Box | Cover	Platinum
90	Mario Party 8	Wii	21/04/2015	11/05/2015	Completed	73	1				Party	Box | Cover 	
126	The Chronicles of Narnia: Prince Caspian	Wii	08/11/2015	18/11/2015	Completed	73	1	91			Action | Adventure	Box | Cover 	
658	Resident Evil: Umbrella Chronicles	Wii	28/08/2023	15/09/2023	Completed	73	1		06:00		FPS	Box | Cover | Manual	
976	Unreal Tournament  	PS2	11/12/2025	03/04/2026	Completed 	73	1	100			FPS	Box | Cover | Manual	
361	Harvest Fishing	NDS	28/09/2020		Not Completed	73	0				RPG	/	
219	Lost in Blue	NDS	19/05/2018		Not Completed	73	0			#3 Strategy	Strategy	/	
452	Resistance 3	PS3	25/01/2022	12/02/2022	Completed	72.5	1				FPS	Box | Cover | Manual	Platinum
598	BEYOND: Two Souls	PS3	05/05/2023	01/10/2023	Completed	72.5	1				Adventure	Box | Cover | Manual	
45	Untold Legends: The Warriors Code	PSP	02/02/2013	Not Registered	Completed	72.5	1				RPG | Action	Box | Cover | Manual	
331	Jak and Daxter: The Lost Frontier	PSP	02/01/2020	18/01/2020	Completed	72.5	1	71	07:10		Action | Adventure	Box | Cover | Manual	
580	Little Battlers eXperience	3DS	11/02/2023	20/12/2025	Completed	72	1		17:26		Action | RPG | OpenWorld	Box | Cover | Manual	
965	Mario Party: Island Tour	3DS	11/12/2025	11/04/2026	Completed	72	1				Party	Box | Cover | Manual	
103	Drawn to Life: The Next Chapter	NDS	23/06/2015	28/06/2015	Completed	72	1				Platformer	/	
208	Mario Party DS	NDS	23/11/2017	21/02/2018	Completed	72	1				Party	/	
674	Oddworld: Abe’s Oddysee	PS Classic	07/11/2023	27/11/2024	Completed	72	1				Platformer	Built-in Console	
139	Tom Clancy's Rainbow Six	PS1	16/03/2016	28/03/2016	Completed	72	1			#2 PS1	FPS | Strategy	Box | Cover | Manual	
278	Extermination	PS2	21/02/2019	09/08/2023	Completed	72	1		03:51		Horror | <3	Box | Cover | Manual	
459	Red Dead Redemption: Undead Nightmare	PS3	21/02/2022	02/11/2023	Completed	72	1				Action | Horror | OpenWorld	Box | Cover | Manual	GOTY
472	The Walking Dead: Season 2	PS3	31/03/2022	08/04/2024	Completed	72	1				Horror | Adventure	Box | Cover | Manual	
388	MotorStorm: Pacific Rift	PS3	14/04/2021	12/03/2022	Completed	72	1		39:16		Racing	Box | Cover | Manual	Platinum
292	Resistance 2	PS3	08/04/2019	01/05/2019	Completed	72	1				FPS	Box | Cover | Manual	
554	Battlefield: Hardline	PS3	04/11/2022	12/05/2023	Completed	72	1				FPS | Stealth	Box | Cover | Manual	
990	Portal	PS3	06/01/2026	24/01/2026	Completed	72	1				Puzzle		Orange Box
57	Fifa Street 2	PSP	25/04/2013	Not Registered	Completed	72	1			#5 Sports	Sports	Box | Cover*	
166	Midnight Club: L.A. Remix	PSP	21/09/2016	22/10/2016	Completed	72	1	89			Racing	Box | Cover | Manual	
46	Sid Meier's Pirates	PSP	02/02/2013	Not Registered	Completed	72	1			#4 Strategy	Strategy	Box | Cover 	
124	Toy Story 3	Wii	08/11/2015	14/12/2015	Completed	72	1				Action | Adventure	Box | Cover | Manual	
116	Yu-Gi-Oh! Capsule Monster Coliseum	PS2	15/09/2015		Not Completed	72	0		08:25	#5 Strategy	Strategy	Box | Cover	
467	Midnight Club: Los Angeles	PS3	16/03/2022		Not Completed	72	0				Racing	Box | Cover | Manual	Complete Ed. | Platinum
750	Pro Evolution Soccer 2013	PS3	11/08/2024	/	Null	72	/				Sports	Box | Cover | Manual	
235	Kirby's Dream Course	SNES Classic	27/07/2018	/	Null	72	/				Sports	Built-in Console	
825	Prototype	PS3	09/02/2025	17/04/2025	Completed	71.5	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
407	Jak X: Combat Racing	PS2	06/07/2021		Not Completed	71.5	0				Racing	Box | Cover | Manual	
673	Mr Driller	PS Classic	07/11/2023	08/11/2023	Completed	71	1				Puzzle	Built-in Console	
198	Naruto: Ultimate Ninja	PS2	26/08/2017	01/09/2017	Completed	71	1		04:50		Fighting	Box | Cover | Manual	
710	Dead Space 3	PS3	02/03/2024	10/10/2024	Completed	71	1				Horror | TPS | Action	Box | Cover | Manual	
758	Metro 2033 Redux	PS4	09/09/2024	13/07/2025	Completed	71	1				FPS | Horror	Box | Cover | Manual	Redux Double Pack
75	Tom Clancy's Rainbow Six Vegas	PSP	26/09/2014	13/10/2014	Completed	71	1				FPS | Strategy	Box | Cover 	Essentials
93	Mario & Sonic at the Olympic Winter Games	Wii	21/04/2015	29/04/2015	Completed	71	1				Sports	Box | Cover 	
417	Burnout 2: Point of Impact	PS2	27/07/2021		Not Completed	71	0				Racing	Box | Cover | Manual	Platinum
242	Street Fighter II Turbo: Hyper Edition	SNES Classic	27/07/2018	/	Null	71	/			#5 Fighting	Fighting	Built-in Console	
423	Lost Planet 2	PS3	19/08/2021	06/02/2022	Completed	70.5	1		6:11		TPS | Action	Box | Cover | Manual	
473	Lost Planet: Extreme Conditions	PS3	08/04/2022	17/08/2022	Completed	70.5	1				Action | TPS	Box | Cover | Manual	
137	House Of The Dead III	PC	01/02/2016	04/02/2016	Completed	70	1				Horror | FPS	Box | Cover	Sold Out Software
186	Reservoir Dogs	PC	04/07/2017	09/07/2017	Completed	70	1				TPS	Box | Cover | Manual	
111	Dog's Life	PS2	15/09/2015	05/10/2015	Completed	70	1				Action | Adventure	Box | Cover | Manual	
427	Medal of Honor: Rising Sun	PS2	19/08/2021	28/11/2021	Completed	70	1				FPS	Box | Cover | Manual	
265	The Sniper 2	PS2	17/10/2018	27/10/2018	Completed	70	1				FPS | <3	Box | Cover | Manual	
553	Prince of Persia: Warrior Within	PS2	04/11/2022	24/11/2022	Completed	70	1				Action | Adventure	Box | Cover	
630	Samurai Warriors Xtreme Legends	PS2	07/08/2023	27/09/2023	Completed	70	1				Action | H&S	Box | Cover | Manual	
740	Zone of the Enders: The 2nd Runner	PS2	26/06/2024	16/10/2024	Completed	70	1				H&S | TPS	Box | Cover | Manual	
340	Assassin's Creed	PS3	14/04/2020	25/04/2020	Completed	70	1			GotM June20	Action | Adventure | OpenWorld	Box | Cover | Manual	
424	Killzone 2	PS3	19/08/2021	23/03/2022	Completed	70	1				FPS	Box | Cover	
425	Killzone 3	PS3	19/08/2021	31/03/2022	Completed	70	1				FPS	Box | Cover	
453	Star Wars: The Force Unleashed	PS3	25/01/2022	16/04/2022	Completed	70	1				Action | Adventure	Box | Cover | Manual	Platinum
785	Mortal Kombat vs DC Universe	PS3	08/11/2024	22/12/2024	Completed	70	1				Fighting	Box | Cover | Manual	
381	Key of Heaven	PSP	03/03/2021	03/08/2021	Completed	70	1				Action | RPG | OpenWorld	Box | Cover | Manual	
68	LEGO Batman	PSP	02/11/2013	Not Registered	Completed	70	1				Action | Adventure	Box | Cover | Manual	
65	Lego Star Wars III	PSP	02/11/2013	Not Registered	Completed	70	1	94			Action | Adventure	Box | Cover | Manual	
84	Ridge Racer	PSP	04/03/2015	27/03/2015	Completed	70	1				Racing	Box | Cover | Manual	
37	Ridge Racer 2	PSP	02/02/2013	Not Registered	Completed	70	1				Racing	Box | Cover 	Platinum
954	Dante's Inferno	PSP	28/10/2025	07/02/2026	Completed	70	1				Action | H&S	Box | Cover | Manual	
243	Star Fox 2	SNES Classic	27/07/2018	03/09/2018	Completed	70	1		00:21		Action	Built-in Console	
430	Wild Earth: African Safari	Wii	19/08/2021	11/11/2021	Completed	70	1				Adventure	Box | Cover | Manual	
693	Call of Duty: Modern Warfare 2	PS3	09/12/2023	21/12/2023	Completed 	70	1	51	06:32		FPS	Box | Cover	
647	Mortal Kombat XL	PS4	23/08/2023	01/07/2025	Completed 	70	1		02:13		Fighting	Box | Cover | Manual	
112	Asterix & Obelix XXL 2: Mission: Las Vegum	PS2	15/09/2015		Not Completed	70	0	62	04:41		Action | Adventure	Box | Cover | Manual	
498	Need for Speed: Most Wanted	PS2	19/05/2022		Not Completed	70	0				Racing	Box | Cover | Manual	
346	Gran Turismo 5	PS3	09/06/2020		Not Completed	70	0				Racing	Box | Cover | Manual	
479	Buzz! Junior: Monster Rumble	PS2	22/04/2022	/	Null	70	/				Party	Box | Cover | Manual	
2	Fifa World Cup 2002	PS2	Before 2012	/	Null	70	/				Sports | L	Box | Cover | Manual	
372	Pro Evolution Soccer 2010	PS3	04/01/2021	/	Null	70	/				Sports	Box | Cover	
359	Virtua Tennis 3	PS3	24/08/2020	/	Null	70	/				Sports  	Box | Cover | Manual	
570	Virtua Tennis 2009	PS3	04/02/2022	/	Null	70	/				Sports	Box	
55	Star Wars Battlefront II	PSP	25/04/2013	29/07/2014	Completed	69.5	1				FPS | TPS	Box | Cover*	
257	The Chronicles of Narnia:The Lion,the Witch and the Wardrobe	GBA	22/08/2018	15/10/2018	Completed	69	1			GotM Oct18	Action | Adventure	/	
262	Pokémon Mystery Dungeon: Blue Rescue Team	NDS	22/08/2018	26/01/2019	Completed	69	1		15:42	GotM Jan19	RPG	/	
261	Pokémon Mystery Dungeon: Explorers of Sky	NDS	22/08/2018	08/03/2019	Completed	69	1				RPG	/	
199	Crash: Mind Over Mutant	PS2	26/08/2017	08/09/2017	Completed	69	1	36	04:34		Platformer | Adventure	Box | Cover | Manual	
449	Devil May Cry	PS2	01/01/2022	18/01/2022	Completed	69	1		04:05		Action | H&S | <3	Box | Cover*	
130	Disney's Donald Duck: PK	PS2	28/12/2015	31/12/2015	Completed	69	1				Action | Adventure	Box | Cover | Manual	
132	Disney's Stitch: Experiment 626	PS2	28/12/2015	12/01/2016	Completed	69	1				Action | Adventure	Box | Cover | Manual	
352	Killzone	PS2	08/07/2020	05/08/2020	Completed	69	1		06:46		FPS	Box | Cover	Platinum
475	The Da Vinci Code	PS2	09/04/2022	02/06/2022	Completed	69	1				Adventure | Puzzle	Box | Cover | Manual	
428	True Crime: Streets of LA	PS2	19/08/2021	24/06/2022	Completed	69	2				Action | Adventure | OpenWorld	Box | Cover | Manual	Platinum
120	50 Cent: Bulletproof	PS2	28/10/2015	21/07/2024	Completed	69	1				TPS	Box | Cover | Manual	Platinum
950	Wild Wild Racing	PS2	28/10/2025	15/06/2026	Completed	69	1				Racing	Box | Cover | Manual	
317	Bionic Commando	PS3	28/10/2019	06/05/2020	Completed	69	1				Action | Adventure	Box | Cover | Manual	
597	Anarchy Reigns	PS3	05/05/2023	24/02/2024	Completed	69	1				Action | H&S	Box | Cover | Manual	
931	F.E.A.R. 2	PS3	20/08/2025	03/10/2025	Completed	69	1				FPS | Horror	Box | Cover 	
938	Red Faction: Armageddon	PS3	01/10/2025	17/04/2026	Completed	69	1				Action | TPS	Box | Cover | Manual	
909	Hidden Agenda	PS4	09/06/2025	30/06/2025	Completed	69	1				Adventure	Box | Cover | Manual	
95	Driver '76	PSP	30/04/2015	27/05/2015	Completed	69	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
236	Kirby Super Star	SNES Classic	27/07/2018	16/09/2018	Completed	69	1	82	03:30		Platformer	Built-in Console	
962	Assassin's Creed III Liberation	VITA	19/11/2025	31/03/2026	Completed	69	1				Action | Adventure	Box | Cover | Manual	
776	de Blob	Wii	12/09/2024	02/11/2025	Completed	69	1				Platformer	Box | Cover | Manual	
605	Scurge: Hive	NDS	24/05/2023		Not Completed	69	0				Action | Adventure	/	
386	Ridge Racer 7	PS3	14/04/2021		Not Completed	69	0				Racing	Box | Cover | Manual	
267	WipeOut Pulse	PSP	21/11/2018		Not Completed	69	0		06:45	GotM Dec18	Racing	Box | Cover | Manual	
775	NBA Street Vol. 2	GCN	12/09/2024	/	Null	69	/				Sports	Box | Cover | Manual	
210	Midway Arcade Treasures	PC	09/01/2018	/	Null	69	/					Box | Cover	
334	NBA Jam	PS3	24/02/2020	/	Null	69	/				Sports	Box | Cover | Manual	
904	NBA 2K12	PS3	21/05/2025	/	Null	69	/				Sports | <3	Box | Cover | Manual	
704	Mario Tennis Open	3DS	09/12/2023	28/12/2023	Completed	68.5	1				Sports	Box | Cover | Manual	
681	Tekken 3	PS Classic	07/11/2023	14/11/2023	Completed	68.5	1				Fighting	Built-in Console	
733	Burnout Dominator	PS2	30/05/2024		Not Completed	68.5	0				Racing	Box | Cover | Manual	
549	Super Monkey Ball 3D	3DS	14/10/2022	22/10/2022	Completed	68	1				Puzzle	/	
514	Zelda II: The Adventure of Link	G&W	14/06/2022	24/08/2022	Completed	68	1				Action | RPG	Built-In Console	
678	Ridge Racer Type 4	PS Classic	07/11/2023	27/11/2024	Completed	68	1				Racing	Built-in Console	
489	Tekken 4	PS2	22/04/2022	29/04/2022	Completed	68	1				Fighting	Box | Cover | Manual	Platinum
591	High School Musical: Sing It!	PS2	16/03/2023	22/03/2023	Completed	68	/				Party	Box | Cover | Manual	
511	Destroy All Humans!	PS2	11/06/2022	19/07/2023	Completed	68	1				Action | TPS	Box | Cover	
763	XIII	PS2	12/09/2024	02/03/2025	Completed	68	1				FPS	Box | Cover | Manual	
385	Mirror's Edge	PS3	14/04/2021	16/03/2022	Completed	68	1				Action | Adventure	Box | Cover	
339	Tom Clancy's Rainbow Six: Vegas 2	PS3	14/04/2020	29/07/2020	Completed	68	1				FPS | Strategy	Box | Cover | Manual	
522	Front Mission Evolved	PS3	16/08/2022	07/05/2023	Completed	68	1				TPS	Box | Cover | Manual	
926	Sonic & Sega All-Stars Racing	PS3	19/07/2025	17/08/2025	Completed	68	1				Racing	Box | Cover	
183	300: March to Glory	PSP	22/06/2017	03/07/2017	Completed	68	1				Action | H&S	Box | Cover | Manual	
382	Manhunt 2	PSP	03/03/2021	26/05/2021	Completed	68	1				Action | Horror | Stealth	Box | Cover | Manual	
287	Medal Of Honor: Heroes	PSP	31/03/2019	02/04/2019	Completed	68	2				FPS 	Box | Cover | Manual	Platinum
587	Phineas & Ferb: Across the 2nd Dimension	PSP	11/02/2023	23/02/2023	Completed	68	1				Platformer	Box | Cover | Manual	
701	Army of Two: The 40th Day	PSP	09/12/2023	16/03/2024	Completed	68	1				Action | Adventure	Box | Cover | Manual	
226	Star Fox	SNES Classic	27/07/2018	31/07/2018	Completed	68	1	33	00:51		Action 	Built-in Console	
959	Resistance: Burning Skies	VITA	17/11/2025	30/11/2025	Completed	68	1				FPS	Box | Cover | Manual	
493	SSX On Tour	PS2	22/04/2022		Not Completed	68	0				Sports	Box | Cover | Manual	
40	Medal Of Honor: Heroes 2	PSP	25/04/2013		Not Completed	68	0				FPS | L	Box 	
299	Metal Gear Ac!d	PSP	19/05/2019		Not Completed	68	0				Strategy	Box | Cover | Manual	
74	SSX On Tour	PSP	26/09/2014		Not Completed	68	0				Sports	Box | Cover | Manual	Essentials
478	Buzz! Junior: Jungle Party	PS2	22/04/2022	/	Null	68	/				Party	Box | Cover | Manual	
583	Disney Sing It: High School Musical 3	PS2	11/02/2023	/	Null	68	/				Party	Box | Cover | Manual	
528	Top Spin 4	PS3	27/08/2022	/	Null	68	/				Sports	Box | Cover | Manual	
761	James Noir's Hollywood Mystery 3D	3DS	12/09/2024	22/09/2024	Completed	67.5	1		05:03		Puzzle	Box | Cover | Manual	
482	Call of Duty: World at War - Final Fronts	PS2	22/04/2022	17/09/2022	Completed	67.5	1				FPS	Box | Cover | Manual	Platinum
620	TRON: Evolution	PSP	29/05/2023	16/10/2023	Completed	67.5	1				Action | Racing	Box | Cover | Manual	
611	LEGO Movie: The VideoGame	3DS	29/05/2023	20/11/2023	Completed	67	0				Action | Adventure	Box | Cover | Manual	
377	Scribblenauts	NDS	06/02/2021	26/09/2022	Completed	67	1				Puzzle	Box | Cover | Manual	
184	Enter The Matrix	PS2	04/07/2017	24/08/2017	Completed	67	1				Action | Adventure	Box | Cover | Manual	
5	Jackie Chan Adventures	PS2	Before 2012	Not Registered	Completed	67	1				Action | Adventure	Box | Cover 	
351	One Piece Grand Adventure	PS2	08/07/2020	17/07/2020	Completed	67	1		01:58		Action | Fighting	Box | Cover | Manual	
512	Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E.	PS2	11/06/2022	01/06/2023	Completed	67	1				Platformer | Adventure	Box | Cover | Manual	
325	Call of Duty 4: Modern Warfare	PS3	06/12/2019	08/06/2020	Completed	67	1				FPS	Box | Cover | Manual	Platinum
438	Call of Duty: Advanced Warfare	PS3	02/12/2021	18/12/2021	Completed	67	1				FPS	Box | Cover | Manual	
293	Warhammer 40k: Space Marine	PS3	08/04/2019	17/04/2020	Completed	67	1				TPS	Box | Cover	
373	X-Men Destiny	PS3	04/01/2021	21/10/2021	Completed	67	1				Action | Adventure	Box | Cover	
182	Aliens vs. Predator: Requiem	PSP	22/06/2017	23/07/2017	Completed	67	1	100			Action | Adventure	Box | Cover | Manual	
96	Need for Speed Carbon: Own the City	PSP	30/04/2015	23/05/2015	Completed	67	1	92	08:09		Racing	Box | Cover | Manual	
47	Spider-Man 2	PSP	02/02/2013	08/12/2021	Completed	67	1				Action | Adventure	Box | Cover 	
30	Tekken Dark Resurrection	PSP	Early 2013	Not Registered	Completed	67	1	100			Fighting	Box | Cover | Manual	Platinum
370	Tom Clancy's Ghost Recon: Advanced Warfighter 2	PSP	01/12/2020	05/02/2021	Completed	67	1	100			TPS | Strategy	Box | Cover | Manual	Essentials
238	Super Ghouls 'n Ghosts	SNES Classic	27/07/2018	03/09/2018	Completed	67	1		01:41		Platformer 	Built-in Console	
726	Speed Racer: The Videogame	NDS	12/05/2024	03/09/2024	Completed 	67	1		02:22		Racing	Box | Cover | Manual	
607	Codename S.T.E.A.M.	3DS	24/05/2023		Not Completed	67	0		07:14		Strategy	/	
451	Lost in Blue 3	NDS	01/01/2022		Not Completed	67	0				Strategy | OpenWorld	/	
146	Sega Superstars Tennis	PS2	20/07/2016		Not Completed	67	0	93			Sports	Box | Cover | Manual	
200	Shinobi	PS2	26/08/2017		Not Completed	67	0				Action | Adventure	Box | Cover | Manual	
772	Stuntman	PS2	12/09/2024		Not Completed	67	0				Action | Racing	Box | Cover	
169	The Lord of the Rings: Tactics	PSP	26/10/2016		Not Completed	67	0	66	06:07		Strategy	Box | Cover | Manual	
499	Singstar '80s	PS2	19/05/2022	/	Null	67	/				Party	Box | Cover | Manual	
263	Fight Night Round 3	PSP	11/09/2018	/	Null	67	/			GotM Nov18 || #4 Fighting	Sports | Fighting	Box | Cover | Manual	
87	Just Dance 3	Wii	21/04/2015	/	Null	67	/				Party	Box | Cover | Manual	
531	Need for Speed: Underground Rivals	PSP	27/08/2022		Not Completed	66.5	0	34	05:55		Racing	Box	
787	FIFA Street	PS3	08/11/2024	/	Null	66.5	/				Sports	Box | Cover | Manual	
589	LEGO Marvel Super Heroes: Universe in Peril	3DS	16/03/2023	12/07/2024	Completed	66	0				Action | Adventure	Box | Cover | Manual	
762	Star Wars: The Force Unleashed II	NDS	12/09/2024	10/02/2025	Completed	66	1		4:24		Action | Adventure	Box | Cover | Manual	
368	Call of Duty: Black Ops	NDS	07/11/2020	24/01/2021	Completed	66	1				FPS | <3	Box | Cover | Manual	
670	Intelligent Qube	PS Classic	07/11/2023	14/12/2023	Completed	66	1				Puzzle	Built-in Console	
682	Tom Clancy’s Rainbow Six	PS Classic	07/11/2023	29/11/2024	Completed	66	1				FPS	Built-in Console	
810	Seek and Destroy	PS2	10/12/2024	07/03/2025	Completed	66	1				Action	Box | Cover | Manual	
324	Call of Duty: World at War	PS3	06/12/2019	05/06/2020	Completed	66	1				FPS	Box | Cover | Manual	
311	Shaun White Skateboarding	PS3	17/09/2019	07/03/2020	Completed	66	1				Sports	Box | Cover	
455	Dead Rising 2: Off the Record	PS3	25/01/2022	07/11/2023	Completed	66	1				Action | Adventure | OpenWorld	Box | Cover | Manual	
705	PlayStation All-Stars Battle Royale	PS3	13/12/2023	26/04/2024	Completed	66	1				Fighting	Box | Cover | Manual	
24	Cars Race-O-Rama	PSP	Day 1 2012	Not Registered	Completed	66	1				Racing	Box  	
367	LEGO Harry Potter Years 1-4	PSP	29/10/2020	16/01/2021	Completed	66	1				Action | Adventure	Box | Cover	
