Septebmber 2026					
			Dishonored	PS4	✅
			Samurai Warriors: Xtreme Legends	PS2	✅
			Resident Evil: Umbrella Chronicles	Wii	✅
			Assassin's Creed II	PS3	✨
			Peter Jackson's King Kong: The Official Game of the Movie	PSP	⏳
			Onimusha: Warlords	PS2	⏳
			Ratchet & Clank: Tools of Destruction	PS3	✅
			Beyond: Two Souls	PS3	⏳
					
					
					
					
					
					
					
					
					
					
Ratchet & Clank	PS4	✅	Completed: 5	Bought: 1	
					
August 2023					
			Sleeping Dogs	PS3	✅
			Scurge: Hive	NDS	⏳
			Gran Turismo 5: Academy Edition	PS3	⏳
			Extermination	PS2	✅
			Mortal Kombat XL	PS4	⏳
			Samurai Warriors: Xtreme Legends	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Samurai Warriors	PS2	✅	Completed: 3	Bought: 33	
					
July 2023					
			Marvel Super Hero Squad: The Infinity Gauntlet	3DS	✅
			Mario Kart Wii	Wii	✨
			Fighting Fury	PS2	➖
			Destroy All Humans	PS2	✅
			Locoroco	PSP	✅
			Sleeping Dogs	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Resident Evil 4	PS2	✅	Completed: 4	Bought: 2	
					
June 2023					
			Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E.	PS2	✅
			Tom Clancy's EndWar	PSP	⏳
			Metal Gear Solid 3: Snake Eater	PS2	✅
			Disney Sing It	PS2	➖
			Pirates: Duels on the High Seas	NDS	✅
			Rayman: Raving Rabbids TV Party	NDS	✅
			SSX	PS2	➖
			MotorStorm Apocalypse	PS3	⏳
			Carnival Games Mini Golf	Wii	✅
			Marvel Super Hero Squad: The Infinity Gauntlet	3DS	⏳
			Samba de Amigo	Wii	⏳
			Just Dance	Wii	➖
			Mario Kart Wii	Wii	✅
			Resident Evil 4	PS2	⏳
					
					
					
					
					
					
Rage	PS3	✅	Completed: 7	Bought: 5	
					
May 2023					
			Tom Clancy's EndWar	PSP	⏳
			Front Mission Evolved	PS3	✅
			Battlefield: Hardline	PS3	✅
			MotorStorm Apocalypse	PS3	⏳
			Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E.	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Silent Hill 4: The Room	PS2	✅	Completed: 3	Bought: 25	
					
April 2023					
			Dark Souls II	PS3	✅
			Warriors Orochi 3	PS3	✨
			Racedriver GRID	NDS	⏳
			Pro Evolution Soccer 3	PS2	➖
			FIFA 16	PS3	➖
			Tekken 6	PS3	✨
			One Piece: Pirate Warriors	PS3	✅
					
					
					
					
					
					
					
					
					
					
					
					
					
God of War III	PS3	✅	Completed: 3	Bought: 1	
					
March 2023					
			Warriors Orochi 3	PS3	✅
			Gran Turismo 5 Prologue	PS3	➖
			Formula One Championship Edition	PS3	➖
			F1 2011	PS3	➖
			Top Spin 3	PS3	➖
			Disney Sing It: High School Musical 3	PS2	➖
			Dragon Ball: Raging Blast 2	PS3	⏳
			Pipe Mania	NDS	✅
			Prince of Persia	PS3	✅
			Singstar '80s	PS2	➖
			High School Musical: Sing It!	PS2	✅
			Dark Souls II	PS3	⏳
			Racedriver GRID	NDS	⏳
					
					
					
					
					
					
					
Super Mario Maker	3DS	✅	Completed: 5	Bought: 7	
					
February 2023					
			Assassin's Creed II	PS3	✅
			Mario & Sonic at the London 2012 Olympic Games	3DS	✨
			Zenses Rainforest	NDS	➖
			Phineas & Ferb: Across the 2nd Dimension	PSP	✅
			Super Mario Maker	3DS	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Warriors Orochi 3	PS3	⏳	Completed: 2	Bought: 11	
					
January 2023					
			Mario & Sonic at the London 2012 Olympic Games	3DS	✅
			Everybody's Tennis	PSP	✅
			BlazBlue: Calamity Trigger	PS3	✅
			Assassin's Creed II	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Borderlands	PS3	✅	Completed: 4	Bought: 5	
					
December 2022					
			Resident Evil Revelations 2	PS3	✅
			Singstar Pop Hits	PS2	➖
			Singstar '80s	PS2	➖
			Championship Manager 	PSP	➖
			Yo-kai Watch	3DS	✨
			FIFA 16	PS3	➖
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Falling Skies: The Game	PS3	✅	Completed: 2	Bought: 1	
					
November 2022					
			Mortal Kombat: Deception	PS2 	⏳
			Burnout	PS2 	➖
			Extermination 	PS2 	⏳
			Prince of Persia: Warrior Within	PS2 	✅
			Battleship 	3DS	⏳
			Passport to... Barcelona	PSP	➖
			Buzz!: The Pop Quiz	PS2	➖
			Buzz!: Quiz World	PSP	➖
			Resident Evil Revelations 2	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
Yo-kai Watch	3DS	✅	Completed: 2	Bought: 13	
					
October 2022					
			The Legend of Zelda: Link's Awakening	G&W	✅
			W Smackdown: Here Comes The Pain	PS2	➖
			WWE SmackDown vs. Raw 2007	PS2	➖
